"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1022","RT @Mleitaonetto: Dilma e Cunha lutam pelo controle do PMDB; STF dá dez dias para Cunha se defender. Jornais de quarta (17) https://t.co/mk…",FALSE,0,NA,2016-02-17 09:50:59,FALSE,NA,"699893799485575168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LOUZADA7",13,TRUE,FALSE,NA,NA
"1023","A CARA DE PAU, ELA NÃO TEM FIM 
Dilma fará novo apelo ao Congresso pela aprovação da CPMF 
https://t.co/JfPmmgwjzI 
https://t.co/M1aAbAi8lp",FALSE,0,NA,2016-02-17 09:50:45,FALSE,NA,"699893737627983872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeversona4",0,FALSE,FALSE,NA,NA
"1024","RT @guyfandrade: Multiplicar  FOCOS é fazer o jogo do PT. Único FOCO é “FORA DILMA! Fora PT!”",FALSE,0,NA,2016-02-17 09:50:44,FALSE,NA,"699893734264193024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarcosVazParana",1,TRUE,FALSE,NA,NA
"1025","RT @mitags: STF faz Manobras.Lula e Dilma fazem Manobras.Pra Janot, só são GRAVÍSSIMAS as feitas por Cunha.DEMOCRACIA JÁ! https://t.co/sNrE…",FALSE,0,NA,2016-02-17 09:50:39,FALSE,NA,"699893716128043008",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","thereza_olivina",9,TRUE,FALSE,NA,NA
"1026","A ponte do Guaíba é outra mentira eleitoral de Dilma que vai parar este ano https://t.co/2v1AwtzMKf",FALSE,0,NA,2016-02-17 09:50:38,FALSE,NA,"699893710008487937",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","pinguim41",0,FALSE,FALSE,NA,NA
"1027","RT @o_antagonista: Depois de enquadrar PT e PMDB, Sérgio Moro está enquadrando Lula e Dilma Rousseff https://t.co/qFOsFT6mQI https://t.co/M…",FALSE,0,NA,2016-02-17 09:50:36,FALSE,NA,"699893702907596800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaxBrasil2000",22,TRUE,FALSE,NA,NA
"1028","I Support #ForaDilma #ForaPT #Panelaco #LulaNaCadeia➼@br45ilnocorrupt @lobaoeletrico click https://t.co/r0Bdcx8ICv➼ ☞https://t.co/ove3RHXvEg",FALSE,0,NA,2016-02-17 09:50:31,FALSE,NA,"699893680606285824",NA,"<a href=""http://justcoz.org"" rel=""nofollow"">justcoz</a>","urbanomedeiros",0,FALSE,FALSE,NA,NA
"1029","Dilma, Lula e o PT estão brincando com explosivos. Perderam o senso de limites, vão acabar gerando uma grave crise e saindo de cena por mal.",FALSE,1,NA,2016-02-17 09:50:30,FALSE,NA,"699893677666275329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DennisOnTheNet",0,FALSE,FALSE,NA,NA
"1030","Gostei de um vídeo @YouTube de @wincrazydorgas https://t.co/sWpcX4OUeW DILMA OUSADA | DORGAS #2",FALSE,0,NA,2016-02-17 09:50:23,FALSE,NA,"699893647840514048",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","GuacheGames",0,FALSE,FALSE,NA,NA
"1031","OAB Nacional está rachada sobre impeachment de Dilma, diz presidente da ordem -  https://t.co/tdnj2Z9NN4 https://t.co/v4ACYE1gzo",FALSE,0,NA,2016-02-17 09:50:21,FALSE,NA,"699893638306914304",NA,"<a href=""http://tribunadajustica.com.br/"" rel=""nofollow"">tribuna_justica_app</a>","tribuna_justica",0,FALSE,FALSE,NA,NA
