,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
2204,RT @tamuitocalor: Todo esse calor Ã© culpa da Dilma.,FALSE,0,NA,2/17/16 7:12,FALSE,NA,6.99854E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",carlosmaneva,335,TRUE,FALSE,NA,NA
2200,RT @tamuitocalor: Todo esse calor Ã© culpa da Dilma.,FALSE,0,NA,2/17/16 7:13,FALSE,NA,6.99854E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Eduardorammos,335,TRUE,FALSE,NA,NA
4951,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:00,FALSE,NA,6.99775E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",miriantedesco,298,TRUE,FALSE,NA,NA
4766,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:09,FALSE,NA,6.99778E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PabloValenteDF,298,TRUE,FALSE,NA,NA
4753,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:09,FALSE,NA,6.99778E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JothaAntunes,298,TRUE,FALSE,NA,NA
4637,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:14,FALSE,NA,6.99779E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abiancadisse,298,TRUE,FALSE,NA,NA
4564,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:17,FALSE,NA,6.9978E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DDpiresmont,298,TRUE,FALSE,NA,NA
4538,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:17,FALSE,NA,6.9978E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Colorado29SILVA,298,TRUE,FALSE,NA,NA
4159,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:28,FALSE,NA,6.99782E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rene_rossi,298,TRUE,FALSE,NA,NA
4146,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:29,FALSE,NA,6.99783E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",michelalves30,298,TRUE,FALSE,NA,NA
4011,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:34,FALSE,NA,6.99784E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JackelineLink,298,TRUE,FALSE,NA,NA
3832,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 2:44,FALSE,NA,6.99787E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rafaelgtl,298,TRUE,FALSE,NA,NA
3534,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:08,FALSE,NA,6.99793E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",eltonfmoraes,298,TRUE,FALSE,NA,NA
3473,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:15,FALSE,NA,6.99794E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",brazilcarnival,298,TRUE,FALSE,NA,NA
3459,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:15,FALSE,NA,6.99794E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BlogOlhoNaMira,298,TRUE,FALSE,NA,NA
3451,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:16,FALSE,NA,6.99795E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ueiler2,298,TRUE,FALSE,NA,NA
3378,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:23,FALSE,NA,6.99796E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",herosap7,298,TRUE,FALSE,NA,NA
3334,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:27,FALSE,NA,6.99797E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",fontenele32,298,TRUE,FALSE,NA,NA
3333,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:27,FALSE,NA,6.99797E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TatiMax,298,TRUE,FALSE,NA,NA
3219,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:37,FALSE,NA,6.998E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EdGaarcia,298,TRUE,FALSE,NA,NA
3215,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:37,FALSE,NA,6.998E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",4driano_4raujo,298,TRUE,FALSE,NA,NA
3202,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 3:38,FALSE,NA,6.998E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",max_s_schmidt,298,TRUE,FALSE,NA,NA
2876,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 4:22,FALSE,NA,6.99811E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",urobc,298,TRUE,FALSE,NA,NA
2797,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 4:31,FALSE,NA,6.99813E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",capslock_io,298,TRUE,FALSE,NA,NA
2793,RT @DepBolsonaro: OBRIGADO A TODOS OS ENVOLVIDOS: Bolsonaro fica Ã  frente de AÃ©cio e Dilma em engajamento nas redes sociais: https://t.co/Dâ€_,FALSE,0,NA,2/17/16 4:31,FALSE,NA,6.99814E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",rodolfogbw,298,TRUE,FALSE,NA,NA
